,id,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods
0,5524,635,88,546,172,88,88
1,2174,11,1,6,2,1,6
2,4141,426,49,127,111,21,42
3,6182,11,4,20,10,3,5
4,5324,173,43,118,46,27,15
5,7446,520,42,98,0,42,14
6,965,235,65,164,50,49,27
7,6177,76,10,56,3,1,23
8,4855,14,0,24,3,3,2
9,5899,28,0,6,1,1,13
10,1994,5,5,6,0,2,1
11,387,6,16,11,11,1,16
12,2125,194,61,480,225,112,30
13,8180,233,2,53,3,5,14
14,2569,3,14,17,6,1,5
15,2114,1006,22,115,59,68,45
16,9736,53,5,19,2,13,4
17,4939,84,5,38,150,12,28
18,6565,1012,80,498,0,16,176
19,2278,4,17,19,30,24,39
20,9360,86,2,73,69,38,48
21,5376,1,1,1725,1,1,1
22,1993,867,0,86,0,0,19
23,4047,384,0,102,21,32,5
24,1409,270,3,27,39,6,99
25,7892,6,4,25,15,12,13
26,2404,173,4,30,3,6,41
27,5255,5,1,3,3,263,362
28,9422,36,2,42,20,21,10
29,1966,684,100,801,21,66,0
30,6864,8,4,10,2,2,4
31,3033,112,17,44,34,22,89
32,5710,110,0,5,2,0,3
33,7373,96,12,96,33,22,43
34,8755,482,34,471,119,68,22
35,10738,40,0,19,2,1,3
36,4339,702,17,151,0,8,35
37,10755,6,3,14,15,7,36
38,8595,55,0,6,2,0,4
39,2968,437,8,206,160,49,42
40,8601,421,76,536,82,178,102
41,503,13,1,29,3,0,7
42,8430,9,0,6,3,1,3
43,7281,81,11,50,3,2,39
44,2139,3,1,10,3,2,12
45,1371,123,164,266,227,30,174
46,9909,3,18,14,15,22,50
47,7286,13,6,15,3,5,13
48,7244,48,5,48,6,10,7
49,6566,826,50,317,50,38,38
50,8614,245,19,125,37,67,14
51,4114,650,37,780,27,167,32
52,1331,12,6,20,30,1,3
53,2225,510,120,550,156,40,241
54,9381,328,9,124,12,24,109
55,6260,984,51,432,180,120,190
56,10383,295,35,482,121,120,40
57,7437,13,0,8,2,1,5
58,8557,11,3,22,2,2,6
59,8375,447,0,28,0,0,43
60,6853,712,26,538,69,13,80
61,3076,452,18,102,16,18,6
62,1012,523,7,134,37,14,169
63,6518,546,0,48,0,6,6
64,4137,398,40,367,119,122,30
65,8082,1,3,6,3,6,15
66,1386,10,0,1,0,0,0
67,9369,688,14,309,201,24,38
68,4477,247,49,159,7,82,109
69,1357,856,59,487,58,29,73
70,1402,496,36,460,189,60,12
71,10629,25,3,43,17,4,17
72,6312,258,107,291,84,37,86
73,8132,565,6,65,0,6,19
74,1050,14,10,13,4,15,9
75,5846,2,1,6,2,1,1
76,1859,721,111,925,97,18,18
77,7503,1032,105,779,137,105,51
78,10401,1,0,5,0,3,9
79,1618,577,0,64,0,0,51
80,3332,64,4,68,7,5,17
81,2261,4,1,5,2,0,4
82,5346,25,5,19,7,0,23
83,4119,112,17,44,34,22,89
84,535,163,23,424,27,65,76
85,5268,17,8,14,10,4,3
86,273,130,0,16,0,0,5
87,4452,292,6,37,0,3,34
88,8504,350,60,568,110,133,145
89,771,135,9,39,4,0,7
90,8996,230,42,192,49,37,53
91,9235,7,0,8,2,0,1
92,5798,445,37,359,98,28,18
93,11178,15,2,10,0,1,4
94,2230,27,2,14,0,0,0
95,7516,5,3,11,12,5,9
96,7247,505,0,26,0,0,75
97,11100,51,2,7,0,1,2
98,4646,207,26,447,75,0,223
99,3037,135,46,92,65,61,11
100,1473,53,1,5,2,1,10
101,1016,41,1,6,2,0,5
102,4518,386,172,183,185,132,111
103,9370,562,81,276,80,40,81
104,8908,217,76,690,50,26,38
105,8373,1,3,6,10,0,9
106,7533,144,1,32,2,1,7
107,2683,295,106,271,75,98,65
108,3629,76,3,31,4,4,27
109,10991,454,194,106,31,22,43
110,5077,425,115,292,23,35,79
111,7431,1332,17,311,23,51,86
112,3267,527,0,21,0,0,60
113,999,490,44,125,29,20,22
114,9215,378,0,101,0,0,72
115,2286,64,1,21,0,1,27
116,1592,547,99,812,151,82,33
117,367,47,90,94,123,103,120
118,5234,12,5,25,0,9,30
119,9862,1,6,7,11,5,3
120,9805,320,48,133,39,72,48
121,6205,34,3,29,0,4,10
122,8442,9,0,7,3,4,7
123,7386,17,0,14,7,3,2
124,7215,722,27,102,44,72,168
125,1491,162,33,124,40,28,172
126,11071,450,133,951,173,0,216
127,3381,70,0,16,0,0,4
128,8268,352,0,27,10,0,15
129,11051,492,19,110,16,12,12
130,8026,120,58,73,65,89,58
131,433,534,5,47,0,5,41
132,9597,236,106,189,23,41,130
133,1295,231,65,196,38,71,124
134,5290,220,0,33,3,0,23
135,1685,796,14,590,38,44,0
136,5342,0,1,3,10,6,9
137,9579,53,1,34,2,0,16
138,7660,15,0,8,4,2,20
139,1461,17,1,12,3,1,4
140,821,962,61,921,52,61,20
141,11084,738,0,232,13,20,50
142,8690,399,28,756,36,40,126
143,2937,614,16,132,43,33,33
144,9701,32,34,41,73,16,116
145,9949,598,16,141,32,41,49
146,10837,2,1,18,20,11,16
147,3120,6,1,10,0,1,4
148,5885,73,3,90,12,1,32
149,4050,42,16,29,12,20,8
150,3830,295,21,78,39,13,13
151,7987,346,17,48,23,13,13
152,7798,233,20,57,8,20,91
153,92,5,7,24,19,14,20
154,7055,888,0,57,0,0,76
155,10240,997,26,269,34,13,42
156,3025,212,6,69,4,12,3
157,9283,8,1,7,2,0,0
158,9970,42,11,57,10,28,14
159,2730,536,11,387,149,91,57
160,2795,5,0,3,0,0,5
161,9260,1349,16,249,43,16,33
162,8182,53,3,49,7,4,5
163,10095,1001,12,240,16,12,12
164,8475,20,2,1582,1,2,1
165,4370,18,1,32,6,3,28
166,10573,125,16,98,134,21,27
167,3712,212,5,33,7,0,2
168,6637,277,162,305,173,76,124
169,3152,15,10,19,8,17,20
170,5610,7,3,10,8,1,7
171,6460,12,4,6,11,8,16
172,1349,85,7,24,2,3,27
173,1880,81,0,6,0,0,6
174,641,59,0,12,0,0,48
175,8717,1149,71,449,69,71,26
176,10314,847,66,119,86,89,111
177,10854,29,0,14,0,0,2
178,10492,2,0,5,2,0,1
179,6935,207,26,447,75,0,223
180,7698,152,3,22,2,5,7
181,3559,12,11,10,3,12,9
182,10562,620,26,195,34,17,141
183,10796,47,1,6,0,0,12
184,2563,1,9,7,2,14,10
185,3518,10,1,18,10,4,7
186,5823,35,0,2,0,0,2
187,3934,356,0,107,19,9,117
188,6982,783,30,537,140,76,15
189,6431,42,1,18,3,0,4
190,9733,1,4,10,29,0,36
191,5602,466,22,432,147,113,102
192,7829,15,6,8,7,4,25
193,1324,23,3,21,3,19,22
194,326,235,6,45,8,9,12
195,7224,10,0,10,3,1,7
196,6999,656,16,106,32,16,8
197,9938,519,17,813,27,173,51
198,6422,344,189,482,50,33,172
199,3182,96,1,79,7,1,79
200,7300,448,4,34,6,4,39
201,10424,265,138,553,224,23,92
202,8727,587,43,337,42,87,54
203,2798,763,29,138,76,176,58
204,1030,22,0,13,0,0,3
205,624,6,4,1,7,2,15
206,5176,7,6,13,7,6,14
207,5552,81,18,113,47,13,21
208,868,54,0,7,0,0,4
209,380,1170,48,320,42,32,192
210,2677,72,24,68,65,4,8
211,6521,613,22,319,33,102,12
212,6927,224,0,30,0,0,10
213,2877,410,0,59,19,9,44
214,0,239,10,554,254,87,54
215,1584,171,7,171,25,19,89
216,7264,12,0,4,0,0,1
217,6274,1076,16,417,42,48,16
218,1377,182,4,33,0,0,66
219,454,824,32,162,42,32,43
220,1755,30,11,25,29,1,18
221,2075,377,10,540,80,30,10
222,4785,520,7,154,19,0,14
223,9076,155,1,25,0,1,3
224,7079,897,23,207,15,11,92
225,4653,131,0,16,2,1,39
226,7375,297,7,79,0,11,182
227,709,787,20,204,0,0,92
228,460,792,86,740,67,51,17
229,3726,4,1,9,3,0,0
230,6798,231,7,137,4,15,39
231,5341,983,76,184,180,138,27
232,1606,3,1,8,4,3,3
233,9617,0,4,5,6,0,4
234,3233,562,21,464,28,10,32
235,89,5,9,20,6,8,21
236,2936,18,0,4,0,0,1
237,9449,415,5,124,15,35,11
238,7297,5,3,10,12,7,20
239,11004,8,0,5,7,0,2
240,313,901,61,757,186,163,20
241,9940,382,114,276,75,124,38
242,10735,14,1,7,2,1,1
243,9529,559,153,503,218,13,181
244,6439,789,0,133,0,28,152
245,7411,11,0,5,0,0,1
246,2176,1218,16,272,104,0,80
247,9265,925,64,179,133,12,77
248,8867,864,134,768,150,38,172
249,8932,960,28,183,220,70,70
250,10236,16,3,25,6,1,13
251,6340,3,3,7,0,2,11
252,10089,168,148,444,32,172,148
253,2227,45,47,52,21,20,25
254,10992,650,28,353,45,42,30
