,id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer
0,5524,1957,Graduation,Single,58138.0,0,0,2012-09-04
1,2174,1954,Graduation,Single,46344.0,1,1,2014-03-08
2,4141,1965,Graduation,Together,71613.0,0,0,2013-08-21
3,6182,1984,Graduation,Together,26646.0,1,0,2014-02-10
4,5324,1981,PhD,Married,58293.0,1,0,2014-01-19
5,7446,1967,Master,Together,62513.0,0,1,2013-09-09
6,965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13
7,6177,1985,PhD,Married,33454.0,1,0,2013-05-08
8,4855,1974,PhD,Together,30351.0,1,0,2013-06-06
9,5899,1950,PhD,Together,5648.0,1,1,2014-03-13
10,1994,1983,Graduation,Married,,1,0,2013-11-15
11,387,1976,Basic,Married,7500.0,0,0,2012-11-13
12,2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15
13,8180,1952,Master,Divorced,59354.0,1,1,2013-11-15
14,2569,1987,Graduation,Married,17323.0,0,0,2012-10-10
15,2114,1946,PhD,Single,82800.0,0,0,2012-11-24
16,9736,1980,Graduation,Married,41850.0,1,1,2012-12-24
17,4939,1946,Graduation,Together,37760.0,0,0,2012-08-31
18,6565,1949,Master,Married,76995.0,0,1,2013-03-28
19,2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03
20,9360,1982,Graduation,Married,37040.0,0,0,2012-08-08
21,5376,1979,Graduation,Married,2447.0,1,0,2013-01-06
22,1993,1949,PhD,Married,58607.0,0,1,2012-12-23
23,4047,1954,PhD,Married,65324.0,0,1,2014-01-11
24,1409,1951,Graduation,Together,40689.0,0,1,2013-03-18
25,7892,1969,Graduation,Single,18589.0,0,0,2013-01-02
26,2404,1976,Graduation,Married,53359.0,1,1,2013-05-27
27,5255,1986,Graduation,Single,,1,0,2013-02-20
28,9422,1989,Graduation,Married,38360.0,1,0,2013-05-31
29,1966,1965,PhD,Married,84618.0,0,0,2013-11-22
30,6864,1989,Master,Divorced,10979.0,0,0,2014-05-22
31,3033,1963,Master,Together,38620.0,0,0,2013-05-11
32,5710,1970,Graduation,Together,40548.0,0,1,2012-10-10
33,7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29
34,8755,1946,Master,Married,68657.0,0,0,2013-02-20
35,10738,1951,Master,Single,49389.0,1,1,2013-08-29
36,4339,1970,PhD,Married,67353.0,0,1,2013-12-31
37,10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02
38,8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11
39,2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01
40,8601,1980,Graduation,Married,80011.0,0,1,2013-04-29
41,503,1985,Master,Married,20559.0,1,0,2013-03-12
42,8430,1957,Graduation,Together,21994.0,0,1,2012-12-24
43,7281,1959,PhD,Single,,0,0,2013-11-05
44,2139,1975,Master,Married,7500.0,1,0,2013-10-02
45,1371,1976,Graduation,Single,79941.0,0,0,2014-06-28
46,9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09
47,7286,1968,Graduation,Together,41728.0,1,0,2013-05-24
48,7244,1951,Graduation,Single,,2,1,2014-01-01
49,6566,1954,PhD,Married,72550.0,1,1,2012-11-08
50,8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12
51,4114,1964,Master,Married,79143.0,0,0,2012-08-11
